OTU,log2FoldChange,pval,Sample,Phylum,Class,Order,Family,Genus,,,,,,OTU,
591,-0.235851941,0.942629598,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Anaerococcus,,,,,,Otu,591
592,0.89321436,0.710619167,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,592
593,0.015043444,0.915382581,11/15/16 Soil,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,,,,,,Otu,593
596,0.767766057,NA,11/15/16 Soil,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,,,,,,Otu,596
612,0.140502536,0.901696582,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,612
673,0.391408004,0.865669763,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,673
707,1.922942764,0.350000739,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,707
710,0.767762279,0.760159533,11/15/16 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,,,,,Otu,710
748,2.392107562,0.305973777,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,748
768,0.893214009,0.718956165,11/15/16 Soil,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Ignatzschineria,,,,,,Otu,768
776,0.015042456,0.915382581,11/15/16 Soil,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,Otu,776
800,-0.235847634,0.952862814,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,,,,,,Otu,800
805,1.270478442,0.523694265,11/15/16 Soil,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,Otu,805
